Stage;Date;Winner;Winner_Country
1;2019;Mike Teunissen;NED
2;2019;Team Jumbo-Visma;
3;2019;Julian Alaphilippe;FRA
4;2019;Elia Viviani;ITA
5;2019;Peter Sagan;SVK
6;2019;Dylan Teuns ;BEL
7;2019;Dylan Groenewegen ;NED
8;2019;Thomas De Gendt ;BEL
9;2019;Daryl Impey ;RSA
10;2019;Wout Van Aert ;BEL
11;2019;Caleb Ewan ;AUS
12;2019;Simon Yates ;GBR
13;2019;Julian Alaphilippe ;FRA
14;2019;Thibaut Pinot ;FRA
15;2019;Simon Yates ;GBR
16;2019;Caleb Ewan ;AUS
17;2019;Matteo Trentin ;ITA
18;2019;Nairo Quintana ;COL
19;2019;Egan Bernal ;COL
20;2019;Vincenzo Nibali ;ITA
21;2019;Caleb Ewan ;AUS
1;2018;Fernando Gaviria ;COL
2;2018;Peter Sagan ;SVK
3;2018;BMC Racing Team ;
4;2018;Fernando Gaviria ;COL
5;2018;Peter Sagan ;SVK
6;2018;Dan Martin ;IRL
7;2018;Dylan Groenewegen ;NED
8;2018;Dylan Groenewegen ;NED
9;2018;John Degenkolb ;GER
10;2018;Julian Alaphilippe ;FRA
11;2018;Geraint Thomas ;GBR
12;2018;Geraint Thomas ;GBR
13;2018;Peter Sagan ;SVK
14;2018;Omar Fraile ;ESP
15;2018;Magnus Cort ;DEN
16;2018;Julian Alaphilippe ;FRA
17;2018;Nairo Quintana ;COL
18;2018;Arnaud Démare ;FRA
19;2018;Primož Rogli? ;SLO
20;2018;Tom Dumoulin ;NED
21;2018;Alexander Kristoff ;NOR
1;2017;Geraint Thomas;GBR
2;2017;Marcel Kittel;GER
3;2017;Peter Sagan;SVK
4;2017;Arnaud Démare;FRA
5;2017;Fabio Aru;ITA
6;2017;Marcel Kittel;GER
7;2017;Marcel Kittel;GER
8;2017;Lilian Calmejane;FRA
9;2017;Rigoberto Urán;COL
10;2017;Marcel Kittel;GER
11;2017;Marcel Kittel;GER
12;2017;Romain Bardet;FRA
13;2017;Warren Barguil;FRA
14;2017;Michael Matthews;AUS
15;2017;Bauke Mollema;NED
16;2017;Michael Matthews;AUS
17;2017;Primož Rogli?;SLO
18;2017;Warren Barguil;FRA
19;2017;Edvald Boasson Hagen;NOR
20;2017;Maciej Bodnar;POL
21;2017;Dylan Groenewegen;NED
1;2016;Mark Cavendish;GBR
2;2016;Peter Sagan;SVK
3;2016;Mark Cavendish;GBR
4;2016;Marcel Kittel;GER
5;2016;Greg Van Avermaet;BEL
6;2016;Mark Cavendish;GBR
7;2016;Steve Cummings;GBR
8;2016;Chris Froome;GBR
9;2016;Tom Dumoulin;NED
10;2016;Michael Matthews;AUS
11;2016;Peter Sagan;SVK
12;2016;Thomas De Gendt;BEL
13;2016;Tom Dumoulin;NED
14;2016;Mark Cavendish;GBR
15;2016;Jarlinson Pantano;COL
16;2016;Peter Sagan;SVK
17;2016;Ilnur Zakarin;RUS
18;2016;Chris Froome;GBR
19;2016;Romain Bardet;FRA
20;2016;Ion Izagirre;ESP
21;2016;André Greipel;GER
1;2015;Rohan Dennis;AUS
2;2015;André Greipel;GER
3;2015;Joaquim Rodríguez;ESP
4;2015;Tony Martin;GER
5;2015;André Greipel;GER
6;2015;Zden?k Štybar;CZE
7;2015;Mark Cavendish;GBR
8;2015;Alexis Vuillermoz;FRA
9;2015;BMC Racing Team;
10;2015;Chris Froome;GBR
11;2015;Rafa? Majka;POL
12;2015;Joaquim Rodríguez;ESP
13;2015;Greg Van Avermaet;BEL
14;2015;Steve Cummings;GBR
15;2015;André Greipel;GER
16;2015;Rubén Plaza Molina;ESP
17;2015;Simon Geschke;GER
18;2015;Romain Bardet;FRA
19;2015;Vincenzo Nibali;ITA
20;2015;Thibaut Pinot;FRA
21;2015;André Greipel;GER
1;2014;Marcel Kittel;GER
2;2014;Vincenzo Nibali;ITA
3;2014;Marcel Kittel;GER
4;2014;Marcel Kittel;GER
5;2014;Lars Boom;NED
6;2014;André Greipel;GER
7;2014;Matteo Trentin;ITA
8;2014;Blel Kadri;FRA
9;2014;Tony Martin;GER
10;2014;Vincenzo Nibali;ITA
11;2014;Tony Gallopin;FRA
12;2014;Alexander Kristoff;NOR
13;2014;Vincenzo Nibali;ITA
14;2014;Rafa? Majka;POL
15;2014;Alexander Kristoff;NOR
16;2014;Michael Rogers;AUS
17;2014;Rafa? Majka;POL
18;2014;Vincenzo Nibali;ITA
19;2014;Ram?nas Navardauskas;LTU
20;2014;Tony Martin;GER
21;2014;Marcel Kittel;GER
1;2013;Marcel Kittel;GER
2;2013;Jan Bakelants;BEL
3;2013;Simon Gerrans;AUS
4;2013;Orica–GreenEDGE;
5;2013;Mark Cavendish;GBR
6;2013;André Greipel;GER
7;2013;Peter Sagan;SVK
8;2013;Chris Froome;GBR
9;2013;Dan Martin;IRL
10;2013;Marcel Kittel;GER
11;2013;Tony Martin;GER
12;2013;Marcel Kittel;GER
13;2013;Mark Cavendish;GBR
14;2013;Matteo Trentin;ITA
15;2013;Chris Froome;GBR
16;2013;Rui Costa;POR
17;2013;Chris Froome;GBR
18;2013;Christophe Riblon;FRA
19;2013;Rui Costa;POR
20;2013;Nairo Quintana;COL
21;2013;Marcel Kittel;GER
P;2012;Fabian Cancellara;SUI
1;2012;Peter Sagan;SVK
2;2012;Mark Cavendish;GBR
3;2012;Peter Sagan;SVK
4;2012;André Greipel;GER
5;2012;André Greipel;GER
6;2012;Peter Sagan;SVK
7;2012;Chris Froome;GBR
8;2012;Thibaut Pinot;FRA
9;2012;Bradley Wiggins;GBR
10;2012;Thomas Voeckler;FRA
11;2012;Pierre Rolland;FRA
12;2012;David Millar;GBR
13;2012;André Greipel;GER
14;2012;Luis León Sánchez;ESP
15;2012;Pierrick Fédrigo;FRA
16;2012;Thomas Voeckler;FRA
17;2012;Alejandro Valverde;ESP
18;2012;Mark Cavendish;GBR
19;2012;Bradley Wiggins;GBR
20;2012;Mark Cavendish;GBR
1;2011;Philippe Gilbert;BEL
2;2011;Garmin–Cervélo;
3;2011;Tyler Farrar;USA
4;2011;Cadel Evans;AUS
5;2011;Mark Cavendish;GBR
6;2011;Edvald Boasson Hagen;NOR
7;2011;Mark Cavendish;GBR
8;2011;Rui Costa;POR
9;2011;Luis León Sánchez;ESP
10;2011;André Greipel;GER
11;2011;Mark Cavendish;GBR
12;2011;Samuel Sánchez;ESP
13;2011;Thor Hushovd;NOR
14;2011;Jelle Vanendert;BEL
15;2011;Mark Cavendish;GBR
16;2011;Thor Hushovd;NOR
17;2011;Edvald Boasson Hagen;NOR
18;2011;Andy Schleck;LUX
19;2011;Pierre Rolland;FRA
20;2011;Tony Martin;GER
21;2011;Mark Cavendish;GBR
P;2010;Fabian Cancellara;SUI
1;2010;Alessandro Petacchi;ITA
2;2010;Sylvain Chavanel;FRA
3;2010;Thor Hushovd;NOR
4;2010;Alessandro Petacchi;ITA
5;2010;Mark Cavendish;GBR
6;2010;Mark Cavendish;GBR
7;2010;Sylvain Chavanel;FRA
8;2010;Andy Schleck;LUX
9;2010;Sandy Casar;FRA
10;2010;Sérgio Paulinho;POR
11;2010;Mark Cavendish;GBR
12;2010;Joaquim Rodríguez;ESP
13;2010;Alexander Vinokourov;KAZ
14;2010;Christophe Riblon;FRA
15;2010;Thomas Voeckler;FRA
16;2010;Pierrick Fédrigo;FRA
17;2010;Andy Schleck;LUX
18;2010;Mark Cavendish;GBR
19;2010;Fabian Cancellara;SUI
20;2010;Mark Cavendish;GBR
1;2009;Fabian Cancellara;SUI
2;2009;Mark Cavendish;GBR
3;2009;Mark Cavendish;GBR
4;2009;Astana;
5;2009;Thomas Voeckler;FRA
6;2009;Thor Hushovd;NOR
7;2009;Brice Feillu;FRA
8;2009;Luis León Sánchez;ESP
9;2009;Pierrick Fédrigo;FRA
10;2009;Mark Cavendish;GBR
11;2009;Mark Cavendish;GBR
12;2009;Nicki Sørensen;DEN
13;2009;Heinrich Haussler;GER
14;2009;Sergei Ivanov;RUS
15;2009;Alberto Contador;ESP
16;2009;Sandy Casar;FRA
17;2009;Fränk Schleck;LUX
18;2009;Alberto Contador;ESP
19;2009;Mark Cavendish;GBR
20;2009;Juan Manuel Gárate;ESP
21;2009;Mark Cavendish;GBR
1;2008;Alejandro Valverde;ESP
