year,total_distance,gc_winner,country,country_iso,country_name,winner_avg_speed
1903,2428,Maurice Garin,FRA,FR,France,25.68
1904,2428,Henri Cornet,FRA,FR,France,25.27
1905,2994,Louis Trousselier,FRA,FR,France,27.11
1906,4637,René Pottier,FRA,FR,France,24.46
1907,4488,Lucien Petit-Breton,FRA,FR,France,28.47
1908,4497,Lucien Petit-Breton,FRA,FR,France,28.74
1909,4498,François Faber,LUX,LU,Luxembourg,28.66
1910,4734,Octave Lapize,FRA,FR,France,29.1
1911,5343,Gustave Garrigou,FRA,FR,France,27.322
1912,5289,Odile Defraye,BEL,BE,Belgium,27.76
1913,5287,Philippe Thys,BEL,BE,Belgium,26.72
1914,5380,Philippe Thys,BEL,BE,Belgium,26.84
1919,5560,Firmin Lambot,BEL,BE,Belgium,24.06
1920,5503,Philippe Thys,BEL,BE,Belgium,24.07
1921,5485,Léon Scieur,BEL,BE,Belgium,24.72
1922,5375,Firmin Lambot,BEL,BE,Belgium,24.2
1923,5386,Henri Pélissier,FRA,FR,France,24.23
1924,5425,Ottavio Bottecchia,ITA,IT,Italy,24.25
1925,5440,Ottavio Bottecchia,ITA,IT,Italy,24.82
1926,5745,Lucien Buysse,BEL,BE,Belgium,24.28
1927,5398,Nicolas Frantz,LUX,LU,Luxembourg,27.22
1928,5476,Nicolas Frantz,LUX,LU,Luxembourg,28.4
1929,5286,Maurice De Waele,BEL,BE,Belgium,28.32
1930,4822,André Leducq,FRA,FR,France,28
1931,5091,Antonin Magne,FRA,FR,France,28.74
1932,4479,André Leducq,FRA,FR,France,29.05
1933,4395,Georges Speicher,FRA,FR,France,29.82
1934,4470,Antonin Magne,FRA,FR,France,30.36
1935,4338,Romain Maes,BEL,BE,Belgium,30.65
1936,4442,Sylvère Maes,BEL,BE,Belgium,31.11
1937,4415,Roger Lapébie,FRA,FR,France,31.77
1938,4694,Gino Bartali,ITA,IT,Italy,31.57
1939,4224,Sylvère Maes,BEL,BE,Belgium,31.99
1947,4642,Jean Robic,FRA,FR,France,31.41
1948,4922,Gino Bartali,ITA,IT,Italy,33.44
1949,4808,Fausto Coppi,ITA,IT,Italy,32.12
1950,4773,Ferdinand Kübler,SUI,CH, Switzerland,32.78
1951,4690,Hugo Koblet,SUI,CH, Switzerland,32.95
1952,4898,Fausto Coppi,ITA,IT,Italy,32.23
1953,4476,Louison Bobet,FRA,FR,France,34.59
1954,4656,Louison Bobet,FRA,FR,France,33.23
1955,4495,Louison Bobet,FRA,FR,France,34.45
1956,4498,Roger Walkowiak,FRA,FR,France,36.27
1957,4669,Jacques Anquetil,FRA,FR,France,34.52
1958,4319,Charly Gaul,LUX,LU,Luxembourg,36.92
1959,4358,Federico Bahamontes,ESP,ES,Spain,35.47
1960,4173,Gastone Nencini,ITA,IT,Italy,37.21
1961,4397,Jacques Anquetil,FRA,FR,France,36.03
1962,4274,Jacques Anquetil,FRA,FR,France,37.32
