Stage,Year,Distance,Type,Mark,Winner,Winner_Country,country_iso
1,2017,14,Individual time trial,ITT,Geraint Thomas,GBR,GB
2,2017,203.5,Flat stage,F,Marcel Kittel,GER,DE
3,2017,212.5,Medium mountain stage,H,Peter Sagan,SVK,SK
4,2017,207.5,Flat stage,F,Arnaud Démare,FRA,FR
5,2017,160.5,Medium mountain stage,H,Fabio Aru,ITA,IT
6,2017,216,Flat stage,F,Marcel Kittel,GER,DE
7,2017,213.5,Flat stage,F,Marcel Kittel,GER,DE
8,2017,187.5,Medium mountain stage,H,Lilian Calmejane,FRA,FR
9,2017,181.5,High mountain stage,M,Rigoberto Urán,COL,CO
10,2017,178,Flat stage,F,Marcel Kittel,GER,DE
11,2017,203.5,Flat stage,F,Marcel Kittel,GER,DE
12,2017,214.5,High mountain stage,M,Romain Bardet,FRA,FR
13,2017,101,High mountain stage,M,Warren Barguil,FRA,FR
14,2017,181.5,Medium mountain stage,H,Michael Matthews,AUS,AU
15,2017,189.5,Medium mountain stage,H,Bauke Mollema,NED,NL
16,2017,165,Medium mountain stage,H,Michael Matthews,AUS,AU
17,2017,183,High mountain stage,M,Primož Rogli?,SLO,SI
18,2017,179.5,High mountain stage,M,Warren Barguil,FRA,FR
19,2017,222.5,Flat stage,F,Edvald Boasson Hagen,NOR,NO
20,2017,22.5,Individual time trial,ITT,Maciej Bodnar,POL,PL
21,2017,103,Flat stage,F,Dylan Groenewegen,NED,NL
1,2016,188,Flat stage,F,Mark Cavendish,GBR,GB
2,2016,183,Flat stage,F,Peter Sagan,SVK,SK
3,2016,223.5,Flat stage,F,Mark Cavendish,GBR,GB
4,2016,237.5,Flat stage,F,Marcel Kittel,GER,DE
5,2016,216,Medium mountain stage,H,Greg Van Avermaet,BEL,BE
6,2016,190.5,Flat stage,F,Mark Cavendish,GBR,GB
7,2016,162.5,Medium mountain stage,H,Steve Cummings,GBR,GB
8,2016,184,High mountain stage,M,Chris Froome,GBR,GB
9,2016,184.5,High mountain stage,M,Tom Dumoulin,NED,NL
10,2016,197,Medium mountain stage,H,Michael Matthews,AUS,AU
11,2016,162.5,Flat stage,F,Peter Sagan,SVK,SK
12,2016,178,High mountain stage,M,Thomas De Gendt,BEL,BE
13,2016,37.5,Individual time trial,ITT,Tom Dumoulin,NED,NL
14,2016,208.5,Flat stage,F,Mark Cavendish,GBR,GB
15,2016,160,High mountain stage,M,Jarlinson Pantano,COL,CO
16,2016,209,Flat stage,F,Peter Sagan,SVK,SK
17,2016,184.5,High mountain stage,M,Ilnur Zakarin,RUS,RU
18,2016,17,Mountain time trial,MTT,Chris Froome,GBR,GB
19,2016,146,High mountain stage,M,Romain Bardet,FRA,FR
20,2016,146.5,High mountain stage,M,Ion Izagirre,ESP,ES
21,2016,113,Flat stage,F,André Greipel,GER,DE
1,2015,13.8,Individual time trial,ITT,Rohan Dennis,AUS,AU
2,2015,166,Flat stage,F,André Greipel,GER,DE
3,2015,159.5,Flat stage,F,Joaquim Rodríguez,ESP,ES
4,2015,223.5,Medium mountain stage,H,Tony Martin,GER,DE
5,2015,189.5,Flat stage,F,André Greipel,GER,DE
6,2015,191.5,Flat stage,F,Zden?k Štybar,CZE,CZ
7,2015,190.5,Flat stage,F,Mark Cavendish,GBR,GB
8,2015,181.5,Flat stage,F,Alexis Vuillermoz,FRA,FR
